estado,x,y
Acre,-273.0,76.0
Alagoas,309.0,72.0
Amapá,36.0,281.0
Amazonas,-200.0,181.0
Bahia,218.0,33.0
Ceará,256.0,162.0
Distrito Federal,111.0,-31.0
Espírito Santo,229.0,-109.0
Goiás,53.0,-49.0
Maranhão,141.0,166.0
Mato Grosso,-73.0,22.0
Mato Grosso do Sul,-43.0,-120.0
Minas Gerais,135.0,-84.0
Pará,14.0,189.0
Paraíba,292.0,92.0
Paraná,18.0,-191.0
Pernambuco,295.0,120.0
Piauí,172.0,107.0
Rio de Janeiro,199.0,-153.0
Rio Grande do Norte,300.0,142.0
Rio Grande do Sul,-13.0,-282.0
Rondônia,-159.0,52.0
Roraima,-132.0,291.0
Santa Catarina,69.0,-242.0
São Paulo,72.0,-147.0
Sergipe,296.0,49.0
Tocantins,85.0,71.0
